,(1+p),(1-p),(n*n),(n*x),(n*y),(n+x),(n+y),(n-x),(n-y),(x*x),(x*y),(x+y),(x-n),(x-y),(y*y),(y-n),(y-x),expected_post,n,p,post-init,x,y
447,1.47,0.53,16,76,8,23,6,-15,2,361,38,21,15,17,4,-2,-17,22.74,4,0.47,3.7399999999999984,19,2
448,1.11,0.89,225,0,165,15,26,15,4,0,0,11,-15,-11,121,-4,11,18.41,15,0.11,18.41,0,11
449,1.87,0.13,289,170,306,27,35,7,-1,100,180,28,-7,-8,324,1,8,274.49,17,0.87,264.49,10,18
450,1.15,0.85,9,33,57,14,22,-8,-16,121,209,30,8,-8,361,16,8,19.89,3,0.15,8.89,11,19
451,1.84,0.16,1,10,14,11,15,-9,-13,100,140,24,9,-4,196,13,4,22.07,1,0.84,12.07,10,14
452,1.3,0.7,256,256,0,32,16,0,16,256,0,16,0,16,0,-16,-16,16.0,16,0.3,0.0,16,0
453,1.56,0.44,361,247,76,32,23,6,15,169,52,17,-6,9,16,-15,-9,56.41,19,0.56,43.41,13,4
454,1.4,0.6,169,260,65,33,18,-7,8,400,100,25,7,15,25,-8,-15,46.3,13,0.4,26.299999999999997,20,5
455,1.07,0.93,361,247,228,32,31,6,7,169,156,25,-6,1,144,-7,-1,29.3,19,0.07,16.3,13,12
456,1.75,0.25,196,112,98,22,21,6,7,64,56,15,-6,1,49,-7,-1,81.4,14,0.75,73.4,8,7
457,1.09,0.91,1,19,15,20,16,-18,-14,361,285,34,18,4,225,14,-4,20.14,1,0.09,1.1400000000000006,19,15
458,1.52,0.48,49,42,0,13,7,1,7,36,0,6,-1,6,0,-7,-6,6.0,7,0.52,0.0,6,0
459,1.13,0.87,324,18,252,19,32,17,4,1,14,15,-17,-13,196,-4,13,32.39,18,0.13,31.39,1,14
460,1.51,0.49,16,76,60,23,19,-15,-11,361,285,34,15,4,225,11,-4,49.51,4,0.51,30.509999999999998,19,15
461,1.93,0.07,400,120,80,26,24,14,16,36,24,10,-14,2,16,-16,-2,80.7,20,0.93,74.7,6,4
462,1.15,0.85,1,10,6,11,7,-9,-5,100,60,16,9,4,36,5,-4,10.84,1,0.15,0.8399999999999999,10,6
463,1.89,0.11,1,2,16,3,17,-1,-15,4,32,18,1,-14,256,15,14,16.21,1,0.89,14.21,2,16
464,1.25,0.75,9,48,3,19,4,-13,2,256,16,17,13,15,1,-2,-15,16.76,3,0.25,0.7600000000000016,16,1
465,1.24,0.76,49,77,126,18,25,-4,-11,121,198,29,4,-7,324,11,7,40.7,7,0.24,29.700000000000003,11,18
466,1.37,0.63,36,54,96,15,22,-3,-10,81,144,25,3,-7,256,10,7,44.81,6,0.37,35.81,9,16
